Year,Month,Material Description,Quantity
2018,5,918/M SPROCKET,38400
2018,5,920/0 LATCH,15000
2018,5,921/0 PLATE,40000
2018,5,"923/0 ,KEY PACKING",120000
2018,5,924/1 SPROCKET CAM,448500
2018,5,925/0 SPROCKET,48000
2018,5,930/0 KEY,30000
2018,5,935/0 STOPPER LEVER ASSY.,8000
2018,5,936/0 PLATE,60000
2018,5,937/0 SPACER WASHER,46000
2018,5,"941/0 Washer, 5th Sync Hub",40000
2018,5,"943/1 , STOPPER PLATE",10000
2018,5,945/0 STOPPER LEVER ASSY.,2400
2018,5,947/0 Stopper Comp Gear Shift Cam,12000
2018,5,949/0 STOPPER LEVER ASSY.,7020
2018,5,950/0 LEVER SHIFT 1,3000
2018,5,951/0 LEVER SHIFT 2,5000
2018,5,952/0 PLATE CLUTCH,48000
2018,5,EXP64A NABE,5000
2018,6,037/A CONTACT FINGER,10000
2018,6,037/B CONTACT FINGER,35000
2018,6,1000/0 WHEEL STARTER,8500
2018,6,1003/0 FACE DRIVE,35160
2018,6,1004/0 PLATE SIDE,35280
2018,6,1005/0 GEAR STARTER CLUTCH,3360
2018,6,1007/0 STOPPER LEVER ASSY.,10100
2018,6,1012/0 GEAR STARTER CLUTCH,10710
2018,6,1013/F - F DISCHARGE VALVE PLATE 1W,6000
2018,6,1013/R - R DISCHARGE VALVE PLATE 1W,6000
2018,6,1015/0 GEAR STARTER CLUTCH,32400
2018,6,134/0 TRIPPING CAM,900
2018,6,162/0 VALVE SPRING DISC,12600
2018,6,256/1 CONTACT FINGER,55000
2018,6,337/4 HOLDER,44928
2018,6,487/0 PLATE VALVE INLET TS5,720
2018,6,488/0 PLATE VALVE DISC TS5,720
2018,6,490/0 PRESSURE PLATE 4.5MM,1000
2018,6,492/0 PRESSURE PLATE 6.5MM,7000
2018,6,"499/F1 F DISCHARGE VALVE PLATE, 1W",40800
2018,6,"499/R1 R DISCHARGE VALVE PLATE, 1W",40800
2018,6,500/0 THRUST WASHER,20200
2018,6,503/0 TONGUE SPACER,50600
2018,6,505/0 COUPLING,10000
2018,6,529/F1 VALVE PLATE_F (1W),70800
2018,6,529/R1 VALVE PLATE_R (1W),70800
2018,6,531/0 SPROCKET CRANK SHAFT-4.38 THK,32250
2018,6,540/0 DISTANCE PLATE 1,1000
